Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Postcode
Jamba Juice,Cafe / Deli,,1700 17th Street,(212) 582-1915,www.jambajuice.com,
Pax World,Cafe / Deli,,225 W 42nd St,(800) 767-1729,http://www.paxworld.com/,10036
705 8th Avenue (8th Avenue Food Court),Cafe / Deli,,705 Eighth Ave Storefront,,,10036
CAFE @ Times Square,Cafe / Deli,,159 W 46th St,(212) 391-7351,,10036
The Alicart Restaurant Group,Catering,,1501 Broadway,2126759790,http://www.alicart.com/,10036
Lp Food & Beverage Inc/Oceo,Catering,,224 W 49th St,2122626236,www.oceo.com,10019
Aramark Services Inc.,Catering,,230 W 41st St,,,10036
Scott Alling-Convivial Catering,Catering,,130 W 42nd St,,,10036
Scott Alliang-Demonstration Room,Catering,,130 W 42nd St,,,10036
N Valenti Restaurant Associates,Catering,,120 W 45th St,2127898145,,10036
Patina Restaurant Group,Catering,,120 W 45th St,(212) 789-8100,,10036
Bistro Caterers,Catering,,155 W 51st St,,,10019
Metromet Inc.,Catering,,224 West 49th Street Suite 1619,,http://www.metromet.com/metromet/index.php,10019
Starbucks,Coffee,,871-879 Eighth Ave, Suite# 871,2122467699,www.starbucks.com,10019
Starbucks,Coffee,,825 Eighth Ave,2124622020,www.starbucks.com,10019
Starbucks,Coffee,,156 W 52nd St,(212) 581-6410,,10019
Starbucks,Coffee,,251 W 42nd St,2123981982,www.starbucks.com,10036
Vacant (Juan Valdez Coffee),Coffee,,1451 Broadway,212 871-7515,,10036
Starbucks,Coffee,,1460 Broadway,2122217515,www.starbucks.com,10036
Starbucks,Coffee,,1530 Broadway,(212) 391-2079,www.starbucks.com,10036
Dunkin' Donuts,Coffee,,210 W 50th St,(212) 757-4617,,10019
Starbucks,Coffee,,1585 Broadway,2125417515,www.starbucks.com,10036
vacant (former starbucks),Coffee,,1600 Broadway,2122451936,www.starbucks.com,10019
Starbucks,Coffee,,1656 Broadway,(212) 704-8937,,10019
Starbucks,Coffee,,1500 Broadway,(212) 221-7515,,10036
KFC&Pizza Hut,Coffee,,761 Seventh Ave,(212) 767-8347,,10019
Starbucks,Coffee,,770 Eighth Ave,2128309001,www.starbucks.com,10036
Starbucks,Coffee,,750 Seventh Ave,2129740032,www.starbucks.com,10019
VACANT (frmerly Starbucks),Coffee,,1600 Broadway Storefront,,,10019
Starbucks (@ Marriott),Coffee,,1535 Broadway,(212) 398-1900,http://www.starbucks.com/store/14269/,10036
Starbucks,Coffee,,684 Eighth Ave,(212) 398-9702,,10036
F & H Liquor Center Inc,Consumables,Beverages,810 7th Ave,(212) 247-4991,,10019
Godiva Chocolatier Inc.,Consumables,Non-beverages,745 Seventh Ave,(212) 921-2193,www.godiva.com,10019
vacant (8th Avenue Pavilion Flea Market),Consumables,Non-beverages,675 Eighth Ave,,,10036
Oceo,Full Serve,Afghan,224 West 49th Street,212 262-6236,,10019
The House of Brews,Full Serve,American,302 W 51st St,,http://www.houseofbrewsny.com/,10019
Seasons,Full Serve,American,888 Eighth Ave,(212) 586-2257,,10019
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,,10019
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,www.paramountNewYork.solmelia.com,10036
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,www.bbkingblues.com,10036
Lucky Star Cafe,Full Serve,American,250 W 43rd St,(201) 838-9269,,10036
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,145 W 44th St,212 789-7508,millenniumbroadway.com,10036
O'Lunney's Times Square Pub,Full Serve,American,145 W 45th St,212 840-6688,www.olunneys.com,10036
Langan's Bar & Restaurant,Full Serve,American,150 W 47th St,(212) 869-5482,www.langans.com,10036
Bar Americain,Full Serve,American,152 W 52nd St,(212) 265-9700,www.baramerican.com,10019
Schnipper's Quality Kitchen,Full Serve,American,620 Eighth Ave,(212) 921-2400,http://www.schnippers.com/,10018
Sardi's Restaurant,Full Serve,American,234-236 W 44th St,(212) 221-8440,www.sardis.com,10036
Library Bar,Full Serve,American,235 W 46th St,(212) 827-4183,,10036
Robert Emmett's Bar & Restaurant,Full Serve,American,694 Eighth Ave,(212) 302-9999,www.robertemmetts.com,10036
Hard Rock Cafe,Full Serve,American,1501 Broadway,2123433355,www.hardrockcafe.com,10036
Planet Hollywood,Full Serve,American,1540 Broadway,(212) 333-7827,www.planethollywoodintl.com,10036
B. Smith's Restaurant Row,Full Serve,American,320 W 46th St,(212) 315-1100,www.bsmith.com,10036
Joe Allen,Full Serve,American,326 W 46th St,(212) 581-6464,www.joeallenrestaurant.com,10036
O'Flaherty's Ale House & Restaurant,Full Serve,American,334 W 46th St,(212) 581-9366,www.oflahertynyc.com,10036
Restaurant,Full Serve,American,155 W 46th St,2128690900,www.lemarais.net,10036
TGI Friday's,Full Serve,American,1552 Broadway,2129447352,www.fridays.com,10036
Swing 46 Jazz and Supper Club,Full Serve,American,349 W 46th St,(212) 262-9554,www.swing46.com,10036
Mars 2112,Full Serve,American,1633 Broadway, Suite# B,2125822112,www.mars2112.com,10019
The House of Brews,Full Serve,American,363 W 46th St,(212) 245-0551,www.HouseOfBrews.com,10036
Joshua Tree - CLOSED,Full Serve,American,368 W 46th St,(212) 489-1920,http://www.joshuatreebarnyc.com/,10036
Pig 'N' Whistle,Full Serve,American,165 W 47th St store front,(212) 302-0112,www.pignwhistlets.com,10036
Aspen Social Club,Full Serve,American,157 W 47th St,(212) 221-7200,http://www.aspensocialclub.com/,10036
Spotlight Times Square,Full Serve,American,1604-1610 Broadway,2129776773,,10019
Ellen's Stardust Diner,Full Serve,American,1650 Broadway,(212) 956-5151,www.ellensstardustdiner.com,10019
Playwright Bar And Restaurant,Full Serve,American,202 W 49th St,(212) 262-9263,www.playwrighttavern.com,10019
Pinnacle Bar,Full Serve,American,234 W 42nd St 25th Floor,212-642-2607,www1.hilton.com/en_US/hi/hotel/NYCTSHF-Hilton-Times-Square-New-York/dining.do,10036
Applebee's Neighborhood Grill and Bar,Full Serve,American,234 W 42nd St,914-777-2331 Ext.116,www.ApplebeesNY.com,10036
Juniors Restaurant,Full Serve,American,1515 Broadway,212-302-2000,www.juniorscheescake.com,10036
Dave & Buster's,Full Serve,American,2481 Manana Drive,(646) 495-2015,www.daveandbusters.com,
Encore Restaurant @ Marriott Marquis,Full Serve,American,1535 Broadway 5th Floor,(212) 704-8849,www.NYMarriottMarquis.com,10036
The Two Times Square Restaurant,Full Serve,American,714 Seventh Ave,(212) 261-5200,www.twotimessquarerestaurant.com,10036
The View Restaurant & Lounge @ Marriott Marquis,Full Serve,American,1535 Broadway 48th Floor,(212) 704-8849,www.NYMarriottMarquis.com,10036
Applebee's,Full Serve,American,205 W 50th St,(212) 262-4022,www.applebeesny.com,10019
Social Bar NYC & Latitude Bar Grill,Full Serve,American,795 Eighth Avenue,(212) 459-0643,www.manhattan.crowneplaza.com,10019
Gingers Restaurant,Full Serve,American,1568 Broadway,(212) 403-6371,www.nyc.doubletreehotels.com,10036
Bobby Van's Steakhouse,Full Serve,American,120 West 45th Street,,,10036
Aureole,Full Serve,American,1 Bryant Park,2123191660,www.charliepalmer.com,10036
Dunhill Cafe,Full Serve,American,109 W 45th St,(212) 944-8484,,10036
H&B Heartland Burgers,Full Serve,American,127 W 43rd St,(646) 366-0235,http://www.heartlandbrewery.com/Times_Square.php,10036
Heartland Brewery,Full Serve,American,127 W 43rd St,212-366-0235,www.heartlandbrewery.com,10036
Cafe O,Full Serve,American,130 W 42nd St,(212) 852-4900,,10036
NIOS Restaurant @ Muse Hotel,Full Serve,American,130 W 46th St,212 485-2400,districtnyc.com,10036
T.G.I. Friday's,Full Serve,American,761 Seventh Ave,2127678349,www.tgifridays.com,10019
Charley O's,Full Serve,American,713 Eighth Ave,2129770025,,10036
Chicken Bar,Full Serve,American,717 Eighth Ave,(212) 245-5111,,10036
Tonic Sports Bar & Restaurant,Full Serve,American,727 Seventh Ave,(212) 382-1059,www.thetonicbar.com,10019
Latitude,Full Serve,American,783 Eighth Ave,(212) 245-3034,,10036
Hawaiian Tropic Zone,Full Serve,American,729 Seventh Ave,212-626-7312,www.hawaiiantropiczone.com,10019
Houlihan's Restaurant & Bar,Full Serve,American,729 Seventh Ave,2126267316,www.houlihans.com,10019
Ruby Tuesday,Full Serve,American,7 Times Sq,(212) 382-3898,http://www.rubytuesday.com/,10036
Smith's Bar & Restaurant,Full Serve,American,701 Eighth Ave,(212) 246-3268,www.smithsbar.com,10036
Glass House Tavern,Full Serve,American,252 W 47th St Storefront,(212) 730-4800,http://glasshousetavern.com,10036
Charley O's,Full Serve,American,1611 Broadway,(212) 246-1960,,10019
Angus McIndoe Restaurant,Full Serve,American,258 West 44th Street,(212) 221-9222,www.AngusMcIndoe.com,10036
Cafe Edison,Full Serve,American,228 W 47th St,(212) 840-5000,www.edisonhotelnyc.com,10036
Olympic Restaurant,Full Serve,American,807 Eighth Ave,(212) 956-3230,,10019
Russo's Steak and Pasta,Full Serve,American,790 Seventh Ave,(212) 621-8523,shearton.com/manhattan,10019
Brasserie 1605,Full Serve,American,1605 Broadway,(212) 315-6195,www.cpmanhattantimessquare.com,10019
Avenue Restaurant @ Sheraton Hilton Hotel,Full Serve,American,811 Seventh Ave,(212) 581-3300,,10019
Sosa Borella,Full Serve,Argentinian,832 Eighth Ave,(212) 262-8282,http://www.sosaborella.com/,10019
Dallas BBQ,Full Serve,Barbecue,27 West 72nd Street,2128732004,,10023
Virgils Real Barbecue,Full Serve,Barbecue,152 W 44th St,(212) 921-9494,www.virgilsbbq.com,10036
Famous Dave's B-B-Q,Full Serve,Barbecue,169 W 47th St,(212) 764-1899,http://www.famousdaves.com/,10036
Duvel Bar Rest,Full Serve,Belgian,125 W 43rd St,(212) 768-0200,www.bxcafe.com,10036
Brazil Grill,Full Serve,Brazilian,787 Eighth Ave,(212) 307-9449,http://cityinsights.com/newyork/brazilgrill.htm,10036
Brazil Brazil,Full Serve,Brazilian,328 W 46th St,(212) 957-4300,www.brazilbrazilrestaurant.com,10036
Bourbon Street Bar & Grille,Full Serve,Cajun,346 W 46th St,(212) 245-2030,www.bourbonny.com,10036
Pomaire,Full Serve,Chilean,371 W 46th St,(212) 956-3055,www.pomairenyc.com,10036
China Gourmet,Full Serve,Chinese,877 Eighth Ave,(212) 246-8181,,10019
John's Shanghai,Full Serve,Chinese,144 W 46th St,(212) 869-9183,,10036
Nan King Chinese Cuisine,Full Serve,Chinese,1632 Broadway,(212) 586-3100,,10019
Grand Sichuan,Full Serve,Chinese,368 W 46th St,,,10036
Jade Terrace,Full Serve,Chinese,268 W 47th St,(212) 398-3800,,10036
Pearls,Full Serve,Chinese,732 Seventh Ave,(212) 582-7380,,10019
Havana Central,Full Serve,Cuban,151 West 46th Street,2123987440,www.havanacentral.com,10036
Margon Restaurant Co.,Full Serve,Cuban,136 W 46th St,(212) 354-5013,,10036
Cosmic Diner,Full Serve,Diner,888 Eighth Ave,212 333-5888,,10019
Ruby's Diner,Full Serve,Diner,234 W 42nd St,,www.rubys.com,10036
Brooklyn Diner,Full Serve,Diner,155 W 43rd St,(212) 265-5400,www.brooklyndiner.com,10036
Brasserie Athena,Full Serve,French,300 W 46th St,(212) 399-1100,,10036
Pergola des Artistes,Full Serve,French,252 W 46th St,2123027500,pergoladesartistes.com,10036
Le Marais,Full Serve,French,150 W 46th St,(212) 869-0900,www.lemarais.net,10036
Le Rivage,Full Serve,French,340 W 46th St,(212) 765-7374,www.lerivagenyc.com,10036
Saju French Bistro @ Hotel Mela,Full Serve,French,120 W 44th St,212-977-saju,www.sajunyc.com,10036
Cafe Un Deux Trois,Full Serve,French,123 W 44th St,(212) 354-4148,www.cafeuneuxtros.biz,10036
Le Bernardin,Full Serve,French,155 West 51st.,2125541515,www.le-bernardin.com,
Pigalle,Full Serve,French,790 Eighth Ave,(212) 489-2233,www.pigallenyc.com,10019
Cafe Nicole @ Novotel,Full Serve,French,226 W 52nd St,(951) 729-8661,http://www.novotel.com/gb/hotel-0753-novotel-new-york-times-square/restaurant.shtml,10019
Bombay Masala Indian Restaurant,Full Serve,Indian,148 W 49th St,(212) 302-8150,www.bombaymasalany.com,10019
Minar Indian Restaurant,Full Serve,Indian,138 W 46th St,(212) 398-4600,www.minarny.com,10036
Spice Fusion,Full Serve,Indian,777 Eighth Ave,212-757-8100,www.myspicefusion.com,10036
Rino Trattoria,Full Serve,Italian,877 Eighth Ave,(212) 307-0666,www.rinotrattoria.com,10019
Caffe Cielo,Full Serve,Italian,881 Eighth Ave,212 246-9555,,10019
Smokehouse,Full Serve,Italian,249 W 48th St,,www.baldoriamo.com,10036
Scarlatto,Full Serve,Italian,250 W 47th St,212 730-4535,scarlattonyc.com,10036
Trattoria Trecolori,Full Serve,Italian,254 W 47th St,(212) 997-4540,,10036
Tony's Di Napoli,Full Serve,Italian,147 W 43rd Str,(212) 221-0100,www.tonysnyc.com,10036
Bella Napoli,Full Serve,Italian,150 W 49th St,(212) 719-2819,,10019
Osteria Al Doge,Full Serve,Italian,142 W 44th St,(212) 944-3643,www.osteria_doge.com,10036
Pasta Lovers Trattoria,Full Serve,Italian,142 W 49th St,212 819-1155,www.pastaloversnyc.com,10019
La Rivista Ristorante,Full Serve,Italian,313 W 46th St,212-245-1707,www.larivistanyc.com,10036
Orso,Full Serve,Italian,322 W 46th St,212-489-7212,www.orsorestaurant.com,10036
Da Rosina Ristorante Italiano,Full Serve,Italian,342 W 46th St,(212) 977-7373,www.darosina.com,10036
Becco,Full Serve,Italian,355 W 46th St,(212) 397-7597,www.becconyc.com,10036
Capri Ristorante - CLOSED,Full Serve,Italian,358 W 46th St,212 582-5850,http://www.capri46.com,10036
Lattanzi Restaurant,Full Serve,Italian,359 W 46th St,(212) 315-0980,www.lattanzinyc.com,10036
Tramonti,Full Serve,Italian,364 W 46th St,(212) 974-7464,,10036
San Leone,Full Serve,Italian,1674 Broadway,(212) 265-1414,,10019
Olive Garden Italian Restaurant,Full Serve,Italian,2 Times Sq,2123333254,www.olivegarden.com,10036
Da Marino,Full Serve,Italian,220 W 49th St,(212) 541-6601,,10019
Danny's Deli,Full Serve,Italian,224 W 47th St,(212) 921-1200,,10036
Serafina @ Time Hotel,Full Serve,Italian,224 W 49th St,212,,10019
Carmine's,Full Serve,Italian,200 W 44th St,(212) 221-3800,www.carminesnyc.com,10036
Martini's Restaurant,Full Serve,Italian,810 7th Ave,(212) 767-1146,,10019
Montenapo Restaurant,Full Serve,Italian,250 West 41st Street,(212) 764-7663,montenaporestaurant.com,10036
Trattoria Dopo Teatro,Full Serve,Italian,125 W 44th St,(212) 869-2849,dopoteatro.com,10036
Bocca To Go Cucian Italiana,Full Serve,Italian,135 W 50th St,(212) 582-3000,www.boccatogo.com,10020
Moda @ Flatotel,Full Serve,Italian,135 W 52nd St,(212) 887-9880,,10019
LyBane Wine Bar,Full Serve,Italian,709 Eighth Ave,(212) 582-2012,,10036
Daniela's Trattoria,Full Serve,Italian,728 Eighth Ave,212 869-3585,,10036
Thalia Kitchen,Full Serve,Italian,828 Eighth Ave,(212) 399-4444,http://www.restaurantthalia.com/,10019
Sofia's,Full Serve,Italian,221 W 46th St,(212) 719-5799,www.sofiasny.com,10036
Ciro Trattoria,Full Serve,Italian,813 Eighth Ave,(212) 307-5484,www.cirotrattorianyc.com,10019
La Masseria,Full Serve,Italian,235 W 48th St,(212) 582-2111,http://www.lamasserianyc.com/,10036
Crown Deli,Full Serve,Italian,1678 Broadway,(212) 265-1414,,10019
Bond 45,Full Serve,Italian,154 West 45th St,(212) 869-4545,www.bond45.com,10036
Azalea,Full Serve,Italian,224 W 51st St,(212) 262-0105,http://www.lunapienanyc.com/azalea_new/,10019
Bella Vita,Full Serve,Italian,211 W 43rd St,(212) 730-1479,www.bellavitanyc.com,10036
Insieme @ The Michaelangelo,Full Serve,Italian,777 Seventh Ave,(212) 582-1310,www.restaurantinsieme.com,10019
Barbetta Restaurant,Full Serve,Italian,321 West 46th Street,(212) 246-9171,barbettarestaurant.com,10036
Ichi Masa Japanese Sushi,Full Serve,Japanese,825 Eighth Ave,(212) 315-4800,http://ichimasany.com/,10019
Iroha,Full Serve,Japanese,152 W 49th St,212 398-9049,,10019
Sapporo,Full Serve,Japanese,152 W 49th St,212 869-8972,,10019
Aoki,Full Serve,Japanese,234 W 48th St,(212) 956-2355,aokinyc.com,10036
Inakaya,Full Serve,Japanese,620 Eighth Ave,(212) 354-2130,,10018
Sushi of Gari,Full Serve,Japanese,347 W 46th St,(212) 957-0046,www.sushiofgari.com,10036
Ocha Sushi,Full Serve,Japanese,350 W 46th St,2125813198,,10036
Kodama Sushi,Full Serve,Japanese,301 W 45th St,(212) 582-8065,http://kodamajapanesenyc.com/,10036
Katen Sushi Bar,Full Serve,Japanese,1535 Broadway 8th Floor,(212) 398-1900,,10036
Yoshinoya Beef Bowl Restaurant,Full Serve,Japanese,255 W 42nd St,(212) 703-9940,http://www.yoshinoyausa.com,10036
Natsumi Restaurant Bar & Lounge,Full Serve,Japanese,226 W 50th St,(212) 258-2988,www.natsumnyc.com,10019
Haru,Full Serve,Japanese,205 W 43rd St,(212) 398-9810,,10036
Mi Nidito (Cantina Mexicana),Full Serve,Mexican,852 Eighth Ave,(212) 265-0022,,10019
Toloache,Full Serve,Mexican,251 W 50th St,(212) 581-1818,www.toloachenyc.com,10019
Viva Pancho,Full Serve,Mexican,156 W 44th St,(212) 944-9747,,10036
Blockheads,Full Serve,Mexican,825 Eighth Ave,,,10019
Sombrero,Full Serve,Mexican,303 W 48th St,(212) 586-4853,www.sombreroRestaurant.com,10036
Chevys Fresh Mex,Full Serve,Mexican,259 W 42nd St,(212) 302-4010,http://www.chevysny.com/EN/index.html,10036
Green Symphony,Full Serve,Organic,255 W 43rd St,(212) 391-4747,,10036
Bluechili,Full Serve,Pan Asian,251 W 51st St,(212) 246-3330,www.bluechilinyc.com,10019
Ruby Foo's,Full Serve,Pan Asian,750 Seventh Ave,(212) 489-5600,www.brguestrestaurants.com,10019
John's Pizzeria,Full Serve,Pizza,260 W 44th St,(212) 391-7560,www.johnpizzerianyc.com,10036
Italia Mia Pizza,Full Serve,Pizza,1674 Broadway,(212) 265-1414,,10019
Pronto Pizza-Lemlen Pizza,Full Serve,Pizza,135 W 41st St,(212) 221-8886,,10036
Russian Samovar Restaurant,Full Serve,Russian,256 W 52nd St,(212) 757-0168,,10019
Firebird Restaurant,Full Serve,Russian,365 W. 46th Street,(212) 586-0244,firebirdrestaurant.com,10036
Russian Vodka Room,Full Serve,Russian,265 W 52nd St,(212) 307-5835,http://russianvodkaroom.com/,10019
Haggis Inc,Full Serve,Scottish,120 W 44th St,2128408413,,10036
Danny's Grand Sea Palace,Full Serve,Seafood,346 W 46th St,(212) 265-8130,,10036
Red Lobster,Full Serve,Seafood,5 Times Sq,2127306706,www.redlobster.com,10036
Blue Fin,Full Serve,Seafood,W Times Square 1567 Broadway,(212) 918-1400,www.brguestrestaurants.com,10036
Bubba Gump Shrimp Co.,Full Serve,Seafood,209 Avenida Fabricante Suite 200,(212) 391-7100,www.bubbagump.com,
Sangria 46,Full Serve,Spanish,338 W 46th St,212-581-8482,www.sangria46.com,10036
Club House Café,Full Serve,Spanish,155 W 46th St,(212) 354-3838,,10036
Meson Sevilla Ristorante,Full Serve,Spanish,344 W 46th St,(212) 262-5890,mesonsevilla.com,10036
Shula's Steakhouse,Full Serve,Steakhouse,250 W 43rd St,2122012776,http://www.donshula.com,10036
Ruth's Chris Steak House,Full Serve,Steakhouse,148 W 51st St,212 245-9600,,10020
Rosie O'Grady's Steakhouse,Full Serve,Steakhouse,149 W 46th St,212 869-0600,www.rosieogradystimessquare.com,10036
Broadway Joe Steakhouse,Full Serve,Steakhouse,315 W 46th St,(212) 246-6513,broadwayjoesteakhouse.com,10036
Bistecca Fiorentina,Full Serve,Steakhouse,317 W 46th St,(212) 258-3232,www.bisteccafiorentinanyc.com,10036
Gallagher's Steak House,Full Serve,Steakhouse,228 W. 52nd Street,(212) 245-5336,www.gallaghersnysteakhouse.com,10019
Hurley's Steak and Seafood,Full Serve,Steakhouse,232 W 48th St,(212) 765-8981,,10036
Bobby Vans,Full Serve,Steakhouse,135 W 50th St,212-957-5050,www.bobbyvans.com,10020
Tad's Steakhouse,Full Serve,Steakhouse,761 Seventh Ave,(212) 382-1164,,10019
Tad's Steak House,Full Serve,Steakhouse,701 Seventh Ave,(212) 767-8348,,10036
Palm Restaurant,Full Serve,Steakhouse,250 W 50th St,(212) 333-7256,http://www.thepalm.com/,10019
Frankie & Johnnie's Steakhouse,Full Serve,Steakhouse,269 W 45th St,(212) 997-9494,http://www.frankieandjohnnies.com/,10036
Pongsri Thai Restaurant,Full Serve,Thai,244 W 48th St,2125823392,,10036
Bangkok House,Full Serve,Thai,360 W 46th St,(212) 541-5943,www.bangkokhouseny.com,10036
Tom and Toon,Full Serve,Thai,245 W 51st St,,,10019
Dervish Turkish Restaurant,Full Serve,Turkish,146 W 47th St,212 997-0070,www.dervishrestaurant.com,10036
Saigon 48,Full Serve,Vietnamese,234 W 48th St,(212) 247-8669,,10036
Hourglass Tavern,Full Serve,,373 W 46th St,(212) 265-2060,http://www.hourglasstavern.com,10036
Scotts Food Court,Quick Serve,American,141 W 41st St,2127681111,,10036
Piano Due,Quick Serve,American,151 W 51st St,(212) 399-9400,http://www.pianoduenyc.net/,10019
Hudson's Sports Bar & Grill,Quick Serve,American,811 Seventh Ave,(212) 841-6551,,10019
Carve: Unique Sandwiches,Quick Serve,American,768 Eighth Ave,(212) 730-4949,http://www.carve.cc/,10036
Manchu WOK,Quick Serve,Chinese,234 W 42nd St,,www.manchuwok.com,10036
Zheng's Lucky Sunday Garden,Quick Serve,Chinese,856 Eighth Ave,(212) 459-3607,http://www.luckysundayny.com/,10019
Fu Ying,Quick Serve,Chinese,811 Eighth Ave,(212) 489-5008,,10019
World of Nuts and Ice Cream,Quick Serve,Dessert,888 Eighth Ave,(212) 245-0398,www.worldofnutsandicecream.com,10019
Cold Stone Creamery/ Tim Horton's,Quick Serve,Dessert,243 W 42nd St,2123981882,www.coldstonecreamery.com,10036
